"model","agent","coverage","n_reps"
"A","citalopram",0.945,91
"A","escitalopram",0.934,91
"A","fluoxetine",0.956,91
"A","paroxetine",0.923,91
"A","sertraline",0.967,91
"B","citalopram",0.957,92
"B","escitalopram",0.957,92
"B","fluoxetine",0.978,92
"B","paroxetine",0.946,92
"B","sertraline",0.957,92
"Ref","citalopram",0.949,98
"Ref","escitalopram",0.929,98
"Ref","fluoxetine",0.959,98
"Ref","paroxetine",0.898,98
"Ref","sertraline",0.949,98
"Lumped","citalopram",0.697,89
"Lumped","escitalopram",0.798,89
"Lumped","fluoxetine",0.865,89
"Lumped","paroxetine",0.427,89
"Lumped","sertraline",0.933,89
