"model","agent","true_rank","match_rate","n_reps"
"A","citalopram",1,0.451,91
"A","escitalopram",3,0.308,91
"A","fluoxetine",5,0.736,91
"A","paroxetine",2,0.341,91
"A","sertraline",4,0.297,91
"B","citalopram",1,0.467,92
"B","escitalopram",3,0.304,92
"B","fluoxetine",5,0.739,92
"B","paroxetine",2,0.326,92
"B","sertraline",4,0.315,92
"Ref","citalopram",1,0.449,98
"Ref","escitalopram",3,0.296,98
"Ref","fluoxetine",5,0.724,98
"Ref","paroxetine",2,0.327,98
"Ref","sertraline",4,0.296,98
"Lumped","citalopram",1,0.303,89
"Lumped","escitalopram",3,0.348,89
"Lumped","fluoxetine",5,0.708,89
"Lumped","paroxetine",2,0.337,89
"Lumped","sertraline",4,0.292,89
