"model","agent","bias","n_reps","scenario"
"A","citalopram",0.0456,98,"2× studies"
"A","escitalopram",0.0442,98,"2× studies"
"A","fluoxetine",0.0412,98,"2× studies"
"A","paroxetine",0.0305,98,"2× studies"
"A","sertraline",0.0044,98,"2× studies"
"B","citalopram",0.0073,96,"2× studies"
"B","escitalopram",0.0106,96,"2× studies"
"B","fluoxetine",0.0255,96,"2× studies"
"B","paroxetine",-0.0112,96,"2× studies"
"B","sertraline",-0.0162,96,"2× studies"
"Ref","citalopram",0.0928,100,"2× studies"
"Ref","escitalopram",0.0845,100,"2× studies"
"Ref","fluoxetine",0.0562,100,"2× studies"
"Ref","paroxetine",0.0894,100,"2× studies"
"Ref","sertraline",0.0118,100,"2× studies"
"Lumped","citalopram",-0.2928,96,"2× studies"
"Lumped","escitalopram",-0.2284,96,"2× studies"
"Lumped","fluoxetine",-0.1004,96,"2× studies"
"Lumped","paroxetine",-0.2577,96,"2× studies"
"Lumped","sertraline",-0.2117,96,"2× studies"
"A","citalopram",0.0524,95,"3× studies"
"A","escitalopram",0.0445,95,"3× studies"
"A","fluoxetine",0.0138,95,"3× studies"
"A","paroxetine",0.0347,95,"3× studies"
"A","sertraline",0.0669,95,"3× studies"
"B","citalopram",0.0159,97,"3× studies"
"B","escitalopram",0.0077,97,"3× studies"
"B","fluoxetine",0.005,97,"3× studies"
"B","paroxetine",-0.0086,97,"3× studies"
"B","sertraline",0.0551,97,"3× studies"
"Ref","citalopram",0.106,100,"3× studies"
"Ref","escitalopram",0.0825,100,"3× studies"
"Ref","fluoxetine",0.0343,100,"3× studies"
"Ref","paroxetine",0.0934,100,"3× studies"
"Ref","sertraline",0.0702,100,"3× studies"
"Lumped","citalopram",-0.295,99,"3× studies"
"Lumped","escitalopram",-0.2243,99,"3× studies"
"Lumped","fluoxetine",-0.114,99,"3× studies"
"Lumped","paroxetine",-0.2503,99,"3× studies"
"Lumped","sertraline",-0.1536,99,"3× studies"
"A","citalopram",0.0687,93,"Dose-enriched"
"A","escitalopram",-0.0022,93,"Dose-enriched"
"A","fluoxetine",0.0403,93,"Dose-enriched"
"A","paroxetine",0.0569,93,"Dose-enriched"
"A","sertraline",0.0456,93,"Dose-enriched"
"B","citalopram",0.0352,95,"Dose-enriched"
"B","escitalopram",-0.0279,95,"Dose-enriched"
"B","fluoxetine",0.0132,95,"Dose-enriched"
"B","paroxetine",0.005,95,"Dose-enriched"
"B","sertraline",0.027,95,"Dose-enriched"
"Ref","citalopram",0.1354,99,"Dose-enriched"
"Ref","escitalopram",0.039,99,"Dose-enriched"
"Ref","fluoxetine",0.0375,99,"Dose-enriched"
"Ref","paroxetine",0.1073,99,"Dose-enriched"
"Ref","sertraline",0.0862,99,"Dose-enriched"
"Lumped","citalopram",-0.252,95,"Dose-enriched"
"Lumped","escitalopram",-0.2152,95,"Dose-enriched"
"Lumped","fluoxetine",-0.0947,95,"Dose-enriched"
"Lumped","paroxetine",-0.2562,95,"Dose-enriched"
"Lumped","sertraline",-0.1532,95,"Dose-enriched"
