"scenario","model","agent","bias","n_reps"
"density_2x","A","citalopram",0.0403,49
"density_2x","A","escitalopram",0.0673,49
"density_2x","A","fluoxetine",0.0511,49
"density_2x","A","paroxetine",0.035,49
"density_2x","A","sertraline",0.0293,49
"density_2x","B","citalopram",0.0025,47
"density_2x","B","escitalopram",0.0339,47
"density_2x","B","fluoxetine",0.0363,47
"density_2x","B","paroxetine",-0.0083,47
"density_2x","B","sertraline",0.004,47
"density_2x","Ref","citalopram",0.0911,50
"density_2x","Ref","escitalopram",0.1094,50
"density_2x","Ref","fluoxetine",0.064,50
"density_2x","Ref","paroxetine",0.0913,50
"density_2x","Ref","sertraline",0.0362,50
"density_2x","Lumped","citalopram",-0.2941,49
"density_2x","Lumped","escitalopram",-0.218,49
"density_2x","Lumped","fluoxetine",-0.0924,49
"density_2x","Lumped","paroxetine",-0.2597,49
"density_2x","Lumped","sertraline",-0.208,49
"density_3x","A","citalopram",0.0561,48
"density_3x","A","escitalopram",0.0417,48
"density_3x","A","fluoxetine",0.0096,48
"density_3x","A","paroxetine",0.0237,48
"density_3x","A","sertraline",0.082,48
"density_3x","B","citalopram",0.0185,50
"density_3x","B","escitalopram",0.0124,50
"density_3x","B","fluoxetine",-0.0014,50
"density_3x","B","paroxetine",-0.0141,50
"density_3x","B","sertraline",0.0622,50
"density_3x","Ref","citalopram",0.1117,50
"density_3x","Ref","escitalopram",0.0819,50
"density_3x","Ref","fluoxetine",0.0296,50
"density_3x","Ref","paroxetine",0.0848,50
"density_3x","Ref","sertraline",0.096,50
"density_3x","Lumped","citalopram",-0.2805,49
"density_3x","Lumped","escitalopram",-0.2364,49
"density_3x","Lumped","fluoxetine",-0.1181,49
"density_3x","Lumped","paroxetine",-0.2635,49
"density_3x","Lumped","sertraline",-0.155,49
"density_enriched","A","citalopram",0.0625,47
"density_enriched","A","escitalopram",0.0141,47
"density_enriched","A","fluoxetine",0.0377,47
"density_enriched","A","paroxetine",0.07,47
"density_enriched","A","sertraline",0.0358,47
"density_enriched","B","citalopram",0.0316,45
"density_enriched","B","escitalopram",-0.0163,45
"density_enriched","B","fluoxetine",0.0163,45
"density_enriched","B","paroxetine",0.0124,45
"density_enriched","B","sertraline",0.0142,45
"density_enriched","Ref","citalopram",0.137,49
"density_enriched","Ref","escitalopram",0.0524,49
"density_enriched","Ref","fluoxetine",0.0444,49
"density_enriched","Ref","paroxetine",0.1187,49
"density_enriched","Ref","sertraline",0.0852,49
"density_enriched","Lumped","citalopram",-0.257,48
"density_enriched","Lumped","escitalopram",-0.1921,48
"density_enriched","Lumped","fluoxetine",-0.1089,48
"density_enriched","Lumped","paroxetine",-0.2454,48
"density_enriched","Lumped","sertraline",-0.1785,48
