"model","agent","coverage","n_reps","scenario"
"A","citalopram",1,49,"2× studies"
"A","escitalopram",0.959,49,"2× studies"
"A","fluoxetine",0.878,49,"2× studies"
"A","paroxetine",0.939,49,"2× studies"
"A","sertraline",0.98,49,"2× studies"
"B","citalopram",0.979,47,"2× studies"
"B","escitalopram",0.979,47,"2× studies"
"B","fluoxetine",0.915,47,"2× studies"
"B","paroxetine",0.957,47,"2× studies"
"B","sertraline",0.979,47,"2× studies"
"Ref","citalopram",0.98,50,"2× studies"
"Ref","escitalopram",0.94,50,"2× studies"
"Ref","fluoxetine",0.9,50,"2× studies"
"Ref","paroxetine",0.88,50,"2× studies"
"Ref","sertraline",0.98,50,"2× studies"
"Lumped","citalopram",0.531,49,"2× studies"
"Lumped","escitalopram",0.531,49,"2× studies"
"Lumped","fluoxetine",0.837,49,"2× studies"
"Lumped","paroxetine",0.163,49,"2× studies"
"Lumped","sertraline",0.816,49,"2× studies"
"A","citalopram",0.875,48,"3× studies"
"A","escitalopram",0.938,48,"3× studies"
"A","fluoxetine",0.979,48,"3× studies"
"A","paroxetine",0.979,48,"3× studies"
"A","sertraline",0.917,48,"3× studies"
"B","citalopram",0.9,50,"3× studies"
"B","escitalopram",0.94,50,"3× studies"
"B","fluoxetine",0.98,50,"3× studies"
"B","paroxetine",0.98,50,"3× studies"
"B","sertraline",0.94,50,"3× studies"
"Ref","citalopram",0.8,50,"3× studies"
"Ref","escitalopram",0.92,50,"3× studies"
"Ref","fluoxetine",0.96,50,"3× studies"
"Ref","paroxetine",0.82,50,"3× studies"
"Ref","sertraline",0.94,50,"3× studies"
"Lumped","citalopram",0.388,49,"3× studies"
"Lumped","escitalopram",0.265,49,"3× studies"
"Lumped","fluoxetine",0.592,49,"3× studies"
"Lumped","paroxetine",0,49,"3× studies"
"Lumped","sertraline",0.939,49,"3× studies"
"A","citalopram",0.957,47,"Dose-enriched"
"A","escitalopram",0.957,47,"Dose-enriched"
"A","fluoxetine",0.936,47,"Dose-enriched"
"A","paroxetine",0.936,47,"Dose-enriched"
"A","sertraline",0.979,47,"Dose-enriched"
"B","citalopram",0.933,45,"Dose-enriched"
"B","escitalopram",0.978,45,"Dose-enriched"
"B","fluoxetine",0.933,45,"Dose-enriched"
"B","paroxetine",0.978,45,"Dose-enriched"
"B","sertraline",1,45,"Dose-enriched"
"Ref","citalopram",0.898,49,"Dose-enriched"
"Ref","escitalopram",0.959,49,"Dose-enriched"
"Ref","fluoxetine",0.939,49,"Dose-enriched"
"Ref","paroxetine",0.878,49,"Dose-enriched"
"Ref","sertraline",0.959,49,"Dose-enriched"
"Lumped","citalopram",0.667,48,"Dose-enriched"
"Lumped","escitalopram",0.792,48,"Dose-enriched"
"Lumped","fluoxetine",0.812,48,"Dose-enriched"
"Lumped","paroxetine",0.25,48,"Dose-enriched"
"Lumped","sertraline",0.875,48,"Dose-enriched"
