"scenario","model","agent","coverage","n_reps"
"density_2x","A","citalopram",1,49
"density_2x","A","escitalopram",0.959,49
"density_2x","A","fluoxetine",0.878,49
"density_2x","A","paroxetine",0.939,49
"density_2x","A","sertraline",0.98,49
"density_2x","B","citalopram",0.979,47
"density_2x","B","escitalopram",0.979,47
"density_2x","B","fluoxetine",0.915,47
"density_2x","B","paroxetine",0.957,47
"density_2x","B","sertraline",0.979,47
"density_2x","Ref","citalopram",0.98,50
"density_2x","Ref","escitalopram",0.94,50
"density_2x","Ref","fluoxetine",0.9,50
"density_2x","Ref","paroxetine",0.88,50
"density_2x","Ref","sertraline",0.98,50
"density_2x","Lumped","citalopram",0.531,49
"density_2x","Lumped","escitalopram",0.531,49
"density_2x","Lumped","fluoxetine",0.837,49
"density_2x","Lumped","paroxetine",0.163,49
"density_2x","Lumped","sertraline",0.816,49
"density_3x","A","citalopram",0.875,48
"density_3x","A","escitalopram",0.938,48
"density_3x","A","fluoxetine",0.979,48
"density_3x","A","paroxetine",0.979,48
"density_3x","A","sertraline",0.917,48
"density_3x","B","citalopram",0.9,50
"density_3x","B","escitalopram",0.94,50
"density_3x","B","fluoxetine",0.98,50
"density_3x","B","paroxetine",0.98,50
"density_3x","B","sertraline",0.94,50
"density_3x","Ref","citalopram",0.8,50
"density_3x","Ref","escitalopram",0.92,50
"density_3x","Ref","fluoxetine",0.96,50
"density_3x","Ref","paroxetine",0.82,50
"density_3x","Ref","sertraline",0.94,50
"density_3x","Lumped","citalopram",0.388,49
"density_3x","Lumped","escitalopram",0.265,49
"density_3x","Lumped","fluoxetine",0.592,49
"density_3x","Lumped","paroxetine",0,49
"density_3x","Lumped","sertraline",0.939,49
"density_enriched","A","citalopram",0.957,47
"density_enriched","A","escitalopram",0.957,47
"density_enriched","A","fluoxetine",0.936,47
"density_enriched","A","paroxetine",0.936,47
"density_enriched","A","sertraline",0.979,47
"density_enriched","B","citalopram",0.933,45
"density_enriched","B","escitalopram",0.978,45
"density_enriched","B","fluoxetine",0.933,45
"density_enriched","B","paroxetine",0.978,45
"density_enriched","B","sertraline",1,45
"density_enriched","Ref","citalopram",0.898,49
"density_enriched","Ref","escitalopram",0.959,49
"density_enriched","Ref","fluoxetine",0.939,49
"density_enriched","Ref","paroxetine",0.878,49
"density_enriched","Ref","sertraline",0.959,49
"density_enriched","Lumped","citalopram",0.667,48
"density_enriched","Lumped","escitalopram",0.792,48
"density_enriched","Lumped","fluoxetine",0.812,48
"density_enriched","Lumped","paroxetine",0.25,48
"density_enriched","Lumped","sertraline",0.875,48
