"tau","model","agent","true_rank","mean_est_rank","n_reps"
0.27,"A","citalopram",1,1.98,46
0.27,"A","escitalopram",3,3.15,46
0.27,"A","fluoxetine",5,4.38,46
0.27,"A","paroxetine",2,2.14,46
0.27,"A","sertraline",4,3.35,46
0.27,"B","citalopram",1,2.06,45
0.27,"B","escitalopram",3,3.08,45
0.27,"B","fluoxetine",5,4.39,45
0.27,"B","paroxetine",2,2.15,45
0.27,"B","sertraline",4,3.32,45
0.27,"Ref","citalopram",1,2.06,49
0.27,"Ref","escitalopram",3,3.1,49
0.27,"Ref","fluoxetine",5,4.35,49
0.27,"Ref","paroxetine",2,2.1,49
0.27,"Ref","sertraline",4,3.39,49
0.27,"Lumped","citalopram",1,2.3,44
0.27,"Lumped","escitalopram",3,3.16,44
0.27,"Lumped","fluoxetine",5,4.34,44
0.27,"Lumped","paroxetine",2,2.06,44
0.27,"Lumped","sertraline",4,3.14,44
0.2,"A","citalopram",1,2.1,36
0.2,"A","escitalopram",3,3.07,36
0.2,"A","fluoxetine",5,4.52,36
0.2,"A","paroxetine",2,2.16,36
0.2,"A","sertraline",4,3.15,36
0.2,"B","citalopram",1,2.09,27
0.2,"B","escitalopram",3,3.15,27
0.2,"B","fluoxetine",5,4.46,27
0.2,"B","paroxetine",2,2.16,27
0.2,"B","sertraline",4,3.15,27
0.2,"Ref","citalopram",1,1.99,40
0.2,"Ref","escitalopram",3,3.16,40
0.2,"Ref","fluoxetine",5,4.45,40
0.2,"Ref","paroxetine",2,2.12,40
0.2,"Ref","sertraline",4,3.29,40
0.2,"Lumped","citalopram",1,2.16,34
0.2,"Lumped","escitalopram",3,3.28,34
0.2,"Lumped","fluoxetine",5,4.38,34
0.2,"Lumped","paroxetine",2,2.23,34
0.2,"Lumped","sertraline",4,2.94,34
0.15,"A","citalopram",1,1.94,18
0.15,"A","escitalopram",3,3.25,18
0.15,"A","fluoxetine",5,4.61,18
0.15,"A","paroxetine",2,2.27,18
0.15,"A","sertraline",4,2.92,18
0.15,"B","citalopram",1,1.88,20
0.15,"B","escitalopram",3,3.44,20
0.15,"B","fluoxetine",5,4.55,20
0.15,"B","paroxetine",2,2.25,20
0.15,"B","sertraline",4,2.89,20
0.15,"Ref","citalopram",1,1.99,28
0.15,"Ref","escitalopram",3,3.32,28
0.15,"Ref","fluoxetine",5,4.59,28
0.15,"Ref","paroxetine",2,2.14,28
0.15,"Ref","sertraline",4,2.96,28
0.15,"Lumped","citalopram",1,2.07,29
0.15,"Lumped","escitalopram",3,3.22,29
0.15,"Lumped","fluoxetine",5,4.23,29
0.15,"Lumped","paroxetine",2,2.02,29
0.15,"Lumped","sertraline",4,3.45,29
0.1,"A","citalopram",1,2.05,19
0.1,"A","escitalopram",3,3.04,19
0.1,"A","fluoxetine",5,4.5,19
0.1,"A","paroxetine",2,1.78,19
0.1,"A","sertraline",4,3.63,19
0.1,"B","citalopram",1,1.89,14
0.1,"B","escitalopram",3,3.3,14
0.1,"B","fluoxetine",5,4.61,14
0.1,"B","paroxetine",2,2,14
0.1,"B","sertraline",4,3.2,14
0.1,"Ref","citalopram",1,1.94,21
0.1,"Ref","escitalopram",3,3.22,21
0.1,"Ref","fluoxetine",5,4.57,21
0.1,"Ref","paroxetine",2,1.88,21
0.1,"Ref","sertraline",4,3.4,21
0.1,"Lumped","citalopram",1,2.05,25
0.1,"Lumped","escitalopram",3,3.17,25
0.1,"Lumped","fluoxetine",5,4.38,25
0.1,"Lumped","paroxetine",2,1.86,25
0.1,"Lumped","sertraline",4,3.55,25
0.05,"A","citalopram",1,2.11,12
0.05,"A","escitalopram",3,2.84,12
0.05,"A","fluoxetine",5,4.65,12
0.05,"A","paroxetine",2,2.24,12
0.05,"A","sertraline",4,3.16,12
0.05,"B","citalopram",1,2.03,7
0.05,"B","escitalopram",3,2.98,7
0.05,"B","fluoxetine",5,4.61,7
0.05,"B","paroxetine",2,2.04,7
0.05,"B","sertraline",4,3.34,7
0.05,"Ref","citalopram",1,1.97,20
0.05,"Ref","escitalopram",3,2.97,20
0.05,"Ref","fluoxetine",5,4.63,20
0.05,"Ref","paroxetine",2,2.12,20
0.05,"Ref","sertraline",4,3.31,20
0.05,"Lumped","citalopram",1,1.97,31
0.05,"Lumped","escitalopram",3,3.24,31
0.05,"Lumped","fluoxetine",5,4.54,31
0.05,"Lumped","paroxetine",2,2.1,31
0.05,"Lumped","sertraline",4,3.15,31
