"study","model","dic","totresdev","tau","converged","error","removed"
"Altamura1989b","Model A",2330.74490939926,342.809998166974,0.242954065478663,TRUE,NA,"trazodone"
"Altamura1989b","Ref",2322.39222381714,340.45392778853,0.250138637393987,TRUE,NA,"trazodone"
"Alvarez2012 (11492A, NCT00839423)","Model A",2306.63197895941,339.447964572491,0.232804946686538,TRUE,NA,""
"Alvarez2012 (11492A, NCT00839423)","Ref",2294.15445193179,339.152466682049,0.239869690776184,TRUE,NA,""
"Amini2005","Model A",2316.14437261703,341.365715659433,0.244189005701469,TRUE,NA,""
"Amini2005","Ref",2327.15708565254,340.428445266579,0.251841385930863,TRUE,NA,""
"Andersen1986","Model A",2333.0737160001,342.179883961034,0.243504522662687,TRUE,NA,""
"Andersen1986","Ref",2316.68500012902,343.231732053823,0.25124261697997,TRUE,NA,""
"Ansseau1989a","Model A",2330.62414476793,340.937422412107,0.245033194403361,TRUE,NA,""
"Ansseau1989a","Ref",2311.12284321119,340.721095536184,0.250486276832679,TRUE,NA,""
"Ansseau1989b","Model A",2321.25185159315,341.683095193443,0.239878917068123,TRUE,NA,""
"Ansseau1989b","Ref",2313.405286897,341.056915365377,0.249093621024092,TRUE,NA,""
"Ansseau1991","Model A",2293.80568037935,340.274854193572,0.243355252816695,TRUE,NA,""
"Ansseau1991","Ref",2298.20548292074,338.762238378944,0.250921428360748,TRUE,NA,""
"Ansseau1994b","Model A",2315.51448164617,340.978524861269,0.242634019265222,TRUE,NA,""
"Ansseau1994b","Ref",2307.05185002735,341.308927781663,0.250625635765004,TRUE,NA,""
"Baldwin2012 (11984A, NCT00635219)","Model A",2298.02951773216,338.871143576106,0.246418762404602,TRUE,NA,""
"Baldwin2012 (11984A, NCT00635219)","Ref",2311.76396031467,339.489852830656,0.254496207362887,TRUE,NA,""
"Benkert2006(C-1763)","Model A",2331.35092148031,341.415395241722,0.244872718083542,TRUE,NA,""
"Benkert2006(C-1763)","Ref",2307.60929464981,342.509616867225,0.250880231302985,TRUE,NA,""
"Bielski2004 (SCT-MD-12)","Model A",2327.28863667997,341.189313923634,0.244520652512709,TRUE,NA,""
"Bielski2004 (SCT-MD-12)","Ref",2318.95819477144,341.885296271085,0.249193016556196,TRUE,NA,""
"Boulenger2014 (13267A, NCT01140906)","Model A",2305.21626411323,342.44321273994,0.219608066702958,TRUE,NA,""
"Boulenger2014 (13267A, NCT01140906)","Ref",2296.07325334896,342.19880070175,0.22549852903515,TRUE,NA,""
"CL3-20098-022","Model A",2298.34216942659,340.647267111704,0.247464642782135,TRUE,NA,""
"CL3-20098-022","Ref",2302.98827984477,339.616044330278,0.253728046095359,TRUE,NA,""
"CL3-20098-023","Model A",2302.30083085294,339.873577926795,0.245674030408264,TRUE,NA,""
"CL3-20098-023","Ref",2304.9647583576,339.457704482618,0.254341776149018,TRUE,NA,""
"Clerc1994","Model A",2320.90181456366,340.331182594136,0.242297815481328,TRUE,NA,""
"Clerc1994","Ref",2306.91654443984,340.718624845192,0.247910133626429,TRUE,NA,""
"Clerc2001","Model A",2312.91030249688,342.458431199417,0.242803774471368,TRUE,NA,""
"Clerc2001","Ref",2324.87130766726,341.452485280744,0.252376123236398,TRUE,NA,""
"DUAG1990","Model A",2297.8337049434,341.606649909692,0.242613090254553,TRUE,NA,""
"DUAG1990","Ref",2322.14899696978,342.23256636171,0.248151614975578,TRUE,NA,""
"Demyttenaere1998","Model A",2324.71463288662,342.760634414565,0.242935930114818,TRUE,NA,""
"Demyttenaere1998","Ref",2313.32002324681,341.710137171151,0.249674153685284,TRUE,NA,""
"Detke2004 (HMAY Study Group A)","Model A",2299.26496781809,339.700558019417,0.238153860250963,TRUE,NA,""
"Detke2004 (HMAY Study Group A)","Ref",2299.36730206305,338.148800637694,0.246581005392572,TRUE,NA,""
"Goldstein2004a (HMAT - Study Group A, ID#4091)","Model A",2306.76379953249,338.440698631065,0.242788784969884,TRUE,NA,""
"Goldstein2004a (HMAT - Study Group A, ID#4091)","Ref",2291.38384741686,339.157917115241,0.248483361626537,TRUE,NA,""
"Goldstein2004b (HMAT  - Study Group B, ID#4091)","Model A",2316.99055832367,340.242048810547,0.245109207585066,TRUE,NA,""
"Goldstein2004b (HMAT  - Study Group B, ID#4091)","Ref",2309.84029531295,339.25559991093,0.25435344806591,TRUE,NA,""
"Guelfi1998","Model A",2296.48928799654,341.192920200685,0.245384204434642,TRUE,NA,""
"Guelfi1998","Ref",2309.48658768138,339.742361407861,0.253047987223087,TRUE,NA,""
"Guillibert1989 (PAR 290 MDF 29060 1727 M)","Model A",2326.64959767368,341.778279361559,0.242778983275631,TRUE,NA,""
"Guillibert1989 (PAR 290 MDF 29060 1727 M)","Ref",2323.76834961199,340.311218496892,0.252336521317146,TRUE,NA,""
"Hackett1998","Model A",2316.50998428306,340.911478144508,0.243492306939304,TRUE,NA,""
"Hackett1998","Ref",2336.43956162315,342.095291379906,0.249770415963468,TRUE,NA,""
"Hao2014","Model A",2325.30107240888,342.424831868074,0.24412827688402,TRUE,NA,""
"Hao2014","Ref",2304.22669598146,341.555882325453,0.251266826375735,TRUE,NA,""
"Higuchi2009","Model A",2294.8875021221,340.124183231778,0.243852951539715,TRUE,NA,""
"Higuchi2009","Ref",2285.76369571528,338.034985440199,0.254458157224894,TRUE,NA,""
"Katona2012 (12541A, NCT00811252)","Model A",2313.97104749253,340.498909632763,0.242313888969103,TRUE,NA,""
"Katona2012 (12541A, NCT00811252)","Ref",2309.30197722324,341.649333037607,0.24718885258335,TRUE,NA,""
"Kerkhofs1990","Model A",2307.69947364925,342.498649760656,0.243622293059318,TRUE,NA,""
"Kerkhofs1990","Ref",2309.66171523666,341.151370921489,0.251363217721164,TRUE,NA,""
"Kuhs1989 (MDUK_29060_III_85_043)","Model A",2322.5577241616,339.842925955169,0.245265515866691,TRUE,NA,""
"Kuhs1989 (MDUK_29060_III_85_043)","Ref",2309.10377336114,341.041275681352,0.250979207519766,TRUE,NA,""
"Lee2007 (F1J-AA-HMCV) (NCT00489775)","Model A",2311.7593861754,342.661414590246,0.241989657929645,TRUE,NA,""
"Lee2007 (F1J-AA-HMCV) (NCT00489775)","Ref",2314.26290979793,342.907281917518,0.24722000110647,TRUE,NA,""
"Lemoine2007 (CL3-20098-035)","Model A",2327.89147322289,341.542813690365,0.241828144922401,TRUE,NA,""
"Lemoine2007 (CL3-20098-035)","Ref",2321.02714504436,340.385750850662,0.249292905301921,TRUE,NA,""
"Loo2002 (CL2-014)","Model A",2322.79987922191,342.946366820287,0.242498578791268,TRUE,NA,""
"Loo2002 (CL2-014)","Ref",2313.56333952902,341.299092324457,0.250585639134038,TRUE,NA,""
"Mahableshwarkar2013 (304, NCT00672620)","Model A",2293.57141837345,341.395677625712,0.24491231805666,TRUE,NA,""
"Mahableshwarkar2013 (304, NCT00672620)","Ref",2319.2693093666,340.550124535236,0.252470509263819,TRUE,NA,""
"Mahableshwarkar2015a (315, NCT01153009)","Model A",2300.29508155349,341.2518176578,0.238312936907635,TRUE,NA,""
"Mahableshwarkar2015a (315, NCT01153009)","Ref",2297.42398835364,339.922858798876,0.244350552876108,TRUE,NA,""
"Manna1989","Model A",2317.5819222007,342.312811366135,0.244191279360036,TRUE,NA,""
"Manna1989","Ref",2326.14467692732,342.199094412183,0.2510118552284,TRUE,NA,""
"Mathews2015 (NCT01473381)","Model A",2303.00324871356,339.341489217286,0.248846741134418,TRUE,NA,""
"Mathews2015 (NCT01473381)","Ref",2316.4625039565,337.340391090459,0.257027540791174,TRUE,NA,""
"McPartlin1998","Model A",2316.23995229266,341.400693475753,0.246410485097906,TRUE,NA,""
"McPartlin1998","Ref",2314.05061743234,341.706699526093,0.249492847578536,TRUE,NA,""
"Montgomery2004b (CL3-20098-030)","Model A",2319.51926587356,340.987002544204,0.245376725417409,TRUE,NA,""
"Montgomery2004b (CL3-20098-030)","Ref",2319.99725386597,342.179176559348,0.251127594230135,TRUE,NA,""
"Nierenberg2007 (F1J-MC-HMCR, NCT00073411, Pigott2007)","Model A",2310.86855038632,340.169627783573,0.247878604681516,TRUE,NA,""
"Nierenberg2007 (F1J-MC-HMCR, NCT00073411, Pigott2007)","Ref",2298.59907274799,339.782877739004,0.255511100298518,TRUE,NA,""
"Pelicier1993 (PAR MDED/29060/III/86/1728M291)","Model A",2317.43635779612,342.715077839207,0.243341256523647,TRUE,NA,""
"Pelicier1993 (PAR MDED/29060/III/86/1728M291)","Ref",2301.37219596352,341.296588144562,0.249956089711956,TRUE,NA,""
"Perahia2006 (HMAY - Study Group B)","Model A",2304.29919618333,338.096252444663,0.247672838091138,TRUE,NA,""
"Perahia2006 (HMAY - Study Group B)","Ref",2293.71896044849,339.605449990218,0.250805982914736,TRUE,NA,""
"Ropert1989","Model A",2302.98778098078,339.992083948788,0.23927162415053,TRUE,NA,""
"Ropert1989","Ref",2314.07713411933,340.826637709257,0.246125482173849,TRUE,NA,""
"Sechter2004","Model A",2296.53450035169,340.793477057177,0.245053379463206,TRUE,NA,""
"Sechter2004","Ref",2305.23795592041,340.43778594432,0.25291078098799,TRUE,NA,""
"Staner1995 (063)","Model A",2323.38372475285,341.394941422607,0.243510032955482,TRUE,NA,""
"Staner1995 (063)","Ref",2320.01355208345,340.594459992207,0.2512692481587,TRUE,NA,""
"Szegedi2006","Model A",2314.57173200453,342.598474770147,0.244079060222065,TRUE,NA,""
"Szegedi2006","Ref",2303.29190356498,339.857771228867,0.252607023060277,TRUE,NA,""
"Wade2007 (Study 10990)","Model A",2314.3149893759,342.761606766884,0.244272501686044,TRUE,NA,""
"Wade2007 (Study 10990)","Ref",2323.9841753091,342.128285518625,0.251472282955522,TRUE,NA,""
"Wang2015 (NCT01571453, KCT0000432, 13926A)","Model A",2317.27773953377,342.369361886493,0.240038615303341,TRUE,NA,""
"Wang2015 (NCT01571453, KCT0000432, 13926A)","Ref",2318.64423747179,341.96845351107,0.2488827122804,TRUE,NA,""
