"agent","median_rank","mean_rank","sucra","d_median","d_lower","d_upper","model","agent_clean"
"citalopram",2,1.819,0.79525,0.799767219263044,0.451985048745937,1.18415121870561,"Model A","Citalopram"
"escitalopram",3,3.07066666666667,0.482333333333333,0.571800277904796,0.223209031933519,0.903534681167341,"Model A","Escitalopram"
"fluoxetine",5,4.57466666666667,0.106333333333333,0.234025369272514,-0.105162957234093,0.585174648265563,"Model A","Fluoxetine"
"paroxetine",2,1.96766666666667,0.758083333333333,0.763719440813034,0.470071920955045,1.07677493903878,"Model A","Paroxetine"
"sertraline",4,3.568,0.358,0.424904975466475,-0.281541202864628,1.15282125889195,"Model A","Sertraline"
"citalopram",2,1.87033333333333,0.782416666666667,0.783532628957283,0.418050572399305,1.1482714726384,"Model B","Citalopram"
"escitalopram",3,3.205,0.44875,0.540036606839982,0.231965692261414,0.863077613697591,"Model B","Escitalopram"
"fluoxetine",5,4.622,0.0945,0.252419860333901,-0.0715207452116837,0.563123602339191,"Model B","Fluoxetine"
"paroxetine",2,2.01233333333333,0.746916666666667,0.745336657590122,0.463809204530248,1.03508491677162,"Model B","Paroxetine"
"sertraline",4,3.29033333333333,0.427416666666667,0.500836640738884,-0.216423176073947,1.18254189998452,"Model B","Sertraline"
"citalopram",2,1.77933333333333,0.805166666666667,0.854043338030022,0.435655048460115,1.26424067277728,"Ref: Linear","Citalopram"
"escitalopram",3,2.96866666666667,0.507833333333333,0.596494834688113,0.232694959495737,0.991624404779574,"Ref: Linear","Escitalopram"
"fluoxetine",5,4.456,0.136,0.221486178394525,-0.169555575494028,0.640644076245972,"Ref: Linear","Fluoxetine"
"paroxetine",2,1.79866666666667,0.800333333333333,0.841035199584825,0.5107248161918,1.17086239091981,"Ref: Linear","Paroxetine"
"sertraline",4,3.99733333333333,0.250666666666667,0.304364927389742,-0.458254406023409,1.083123293797,"Ref: Linear","Sertraline"
"citalopram",3,2.91766666666667,0.520583333333333,0.431378892221971,0.132745031611657,0.740505741876987,"Lumped NMA","Citalopram"
"escitalopram",4,3.629,0.34275,0.344833377176137,0.0983214164461988,0.592394738018407,"Lumped NMA","Escitalopram"
"fluoxetine",5,4.51266666666667,0.121833333333333,0.217104358060267,-0.00165317571578092,0.458592847969573,"Lumped NMA","Fluoxetine"
"paroxetine",2,2.14333333333333,0.714166666666667,0.525780984065059,0.337633263904114,0.731468501612148,"Lumped NMA","Paroxetine"
"sertraline",1,1.79733333333333,0.800666666666667,0.730773086867512,-0.00208294722956275,1.55036872128708,"Lumped NMA","Sertraline"
