"model","agent","true_rank","mean_est_rank","mean_abs_error","n_reps"
"A","citalopram",1,5.02,4.02,46
"A","escitalopram",3,3.83,0.95,46
"A","fluoxetine",5,2.44,2.56,46
"A","paroxetine",2,4.86,2.86,46
"A","sertraline",4,3.49,1,46
"B","citalopram",1,4.94,3.94,45
"B","escitalopram",3,3.91,0.97,45
"B","fluoxetine",5,2.43,2.57,45
"B","paroxetine",2,4.85,2.85,45
"B","sertraline",4,3.53,1.02,45
"Ref","citalopram",1,4.94,3.94,49
"Ref","escitalopram",3,3.88,1,49
"Ref","fluoxetine",5,2.47,2.53,49
"Ref","paroxetine",2,4.9,2.9,49
"Ref","sertraline",4,3.44,1.05,49
"Lumped","citalopram",1,2.3,1.3,44
"Lumped","escitalopram",3,3.16,0.67,44
"Lumped","fluoxetine",5,4.34,0.66,44
"Lumped","paroxetine",2,2.06,0.5,44
"Lumped","sertraline",4,3.14,1.08,44
